ID,GENDER,CAR,REALITY,NO_OF_CHILD,INCOME,INCOME_TYPE,EDUCATION_TYPE,FAMILY_TYPE,HOUSE_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET
5008806,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,29,59,3,0
5008808,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1,4,52,8,0
5008809,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1,26,52,8,0
5008810,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1,26,52,8,0
5008811,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1,38,52,8,0
5008815,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,1,1,1,1,2,5,46,2,0
5112956,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,1,1,1,1,2,42,46,2,0
5008819,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,17,49,3,0
5008820,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,16,49,3,0
5008821,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,8,49,3,0
5008822,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,22,49,3,0
5008823,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,7,49,3,0
5008824,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,3,49,3,0
5008825,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,1,0,0,0,2,25,29,3,0
5008826,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,1,0,0,0,2,30,29,3,0
5008830,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,31,27,4,0
5008831,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,19,27,4,0
5008832,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,34,27,4,0
5008836,M,Y,Y,3,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,5,24,35,3,0
5008837,M,Y,Y,3,270000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,5,18,35,3,0
5008838,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,39,32,6,0
5008839,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,13,32,6,0
5008840,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,55,32,6,0
5008841,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,4,32,6,0
5008842,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,8,32,6,0
5008843,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,29,32,6,0
5008844,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,43,56,12,0
5008846,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,11,56,12,0
